bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-001_ses-046_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3556	0.2643	0.2867	0.0053	0.4797	0.5881	0.5868	0.6343	0.6724	0.0	0.0	277.709	117.1297	88.8692	33.1098	17.5089	19.6449	279	99.64285714285714	0.8146	40.0303	18.8377	7.5935	4.17	4.19	4.19	2.76	1.87	2.24	1.48	1.57	1.04	51.55	330.94	309.86	285.78	237.3836	17.7912	40.4835	18.0	951475.0	3.0	136.0	95.5063	8.0259	161.6036	380.2304	290.0	369533.0	93.0	1019.0	307.1423	11.9178	74.1301	211.7705	207.0	109781.0	79.0	351.0	89.2794
sub-001_ses-047_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3413	0.1804	0.1775	0.0041	0.4726	0.5835	0.5997	0.6405	0.6667	0.0	0.0	283.3371	118.0059	78.1987	28.2004	16.3618	19.3891	279	99.64285714285714	0.4019	44.4781	18.5796	7.5935	4.06	3.99	3.99	2.6	1.77	2.31	1.41	1.44	0.99	49.4	327.0	325.25	260.14	187.1603	19.2738	42.961	19.0	954431.0	3.0	145.0	98.1176	9.8243	171.9819	393.0356	303.0	366577.0	104.0	1023.0	313.4614	5.0863	81.5431	215.4834	212.0	89292.0	93.0	353.0	83.2149
sub-001_ses-048_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3225	0.2356	0.2662	0.0026	0.3885	0.4937	0.499	0.552	0.6027	0.0	0.0	1177.6171	383.6736	282.3898	96.2908	45.1324	4.8467	279	99.64285714285714	0.5772	34.0999	15.5605	1.6508	4.65	4.68	4.68	2.98	1.85	2.68	1.7	1.89	1.22	35.2	197.66	195.13	198.38	698.1521	8.8956	28.8198	9.0	1493688.0	2.0	111.0	102.9069	8.7413	173.4645	399.1095	306.0	360804.0	97.0	1073.0	326.8987	10.4019	81.5431	215.9559	213.0	105122.0	78.0	360.0	89.8947
sub-001_ses-20101060_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2319	0.0856	0.0803	0.0011	0.3735	0.5059	0.5304	0.5952	0.6313	0.0	0.0	934.5242	304.1544	193.4967	65.0801	33.2599	13.7132	279	99.64285714285714	0.473	25.2042	14.9739	1.6508	4.67	4.63	4.63	3.17	1.94	2.7	1.62	2.15	1.07	35.82	187.26	204.69	234.23	201.6961	5.9304	19.3086	7.0	1488619.0	2.0	64.0	54.9081	11.001	124.5386	311.1279	218.0	365873.0	68.0	911.0	287.5293	35.1901	57.8215	168.555	158.0	119207.0	55.0	305.0	87.9097
sub-001_ses-20102030_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.4112	0.2241	0.2204	0.0056	0.3478	0.4403	0.4353	0.4529	0.4676	0.0	0.0	15799.7979	6796.3638	6812.7188	2113.6277	1105.6978	37.444	278	99.28571428571429	0.5163	56.3389	15.585	0.3301	3.46	3.4	3.4	2.43	1.48	1.85	1.57	1.3	0.98	34.87	182.76	212.47	225.78	485.7219	1.4826	9.8617	1.0	1515919.0	0.0	37.0	42.437	11.1101	96.3691	297.1929	222.0	363977.0	84.0	809.0	242.3873	29.7989	54.8563	195.1915	191.0	117698.0	60.0	312.0	89.9337
sub-001_ses-20103034_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.4009	0.2246	0.2304	0.0026	0.3476	0.4509	0.4479	0.4666	0.4811	0.0	0.0	11665.6348	3749.7734	3616.4268	1234.6265	653.6862	33.6145	277	98.92857142857143	0.5935	63.0106	15.0732	0.3301	3.21	3.2	3.2	2.14	1.32	1.74	1.21	0.94	0.9	35.83	207.47	202.72	232.55	1490.9658	2.9652	10.9988	2.0	1508076.0	0.0	38.0	71.2662	12.9585	91.9213	295.0912	220.0	371820.0	86.0	800.0	240.5503	45.2846	53.3737	202.1006	194.0	122627.0	80.0	322.0	95.9367
sub-001_ses-20201060_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1439	0.0401	0.0089	0.0002	0.3648	0.4961	0.5196	0.5773	0.6162	0.0	0.0	1010.9393	351.5569	223.5644	72.9283	37.5068	9.9118	279	99.64285714285714	0.5345	31.1346	14.7044	1.3206	3.97	3.93	3.93	2.73	1.8	2.19	1.45	1.2	1.07	37.99	194.01	226.06	243.95	698.9975	5.9304	17.8467	7.0	1481987.0	2.0	57.0	66.1784	10.5763	126.0212	309.1574	216.0	372505.0	65.0	906.0	286.5063	26.1445	59.3041	167.1523	158.0	123102.0	54.0	302.0	86.9538
sub-001_ses-20202030_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.4068	0.1876	0.1721	0.0133	0.3417	0.4364	0.4362	0.452	0.4625	0.0	0.0	16239.3359	6062.0664	4653.7227	1547.3158	803.9279	32.7665	279	99.64285714285714	0.51	45.9607	15.1376	0.3301	4.7	4.64	4.64	3.15	2.12	2.16	2.04	1.41	1.4	30.89	170.86	168.7	193.05	293.1425	1.4826	8.7773	1.0	1518719.0	0.0	34.0	34.1951	15.4324	96.3691	315.8227	233.0	361177.0	89.0	857.0	268.4187	106.2732	54.8563	216.1937	205.0	123539.0	95.0	347.0	105.8917
sub-001_ses-20203034_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.4105	0.1884	0.197	0.0015	0.3442	0.4377	0.4346	0.4521	0.4641	0.0	0.0	17321.541	6595.2554	6178.4756	1869.0645	1001.5455	32.0944	279	99.64285714285714	0.4151	56.3389	14.7236	0.3301	3.45	3.41	3.41	2.39	1.58	1.85	1.62	1.22	1.03	34.56	192.32	214.96	229.41	906.5719	1.4826	9.1782	1.0	1508973.0	0.0	35.0	43.1441	11.4515	99.3343	307.968	224.0	370923.0	83.0	857.0	262.4483	31.4351	56.3389	204.7211	197.0	124101.0	74.0	333.0	96.3175
sub-001_ses-20301060_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1349	0.0154	0.01	0.0006	0.354	0.4922	0.5186	0.5856	0.622	0.0	0.0	927.6425	326.8566	205.9751	66.8391	34.3892	7.6486	279	99.64285714285714	0.4413	29.652	14.5081	1.3206	4.03	3.97	3.97	2.77	1.84	2.37	1.51	1.67	1.13	37.53	210.88	228.87	237.92	799.0468	5.9304	18.6688	7.0	1486687.0	2.0	60.0	72.5161	11.7874	131.9516	313.3689	213.0	367805.0	62.0	949.0	309.4715	27.3311	65.2345	161.262	153.0	124371.0	45.0	297.0	87.98
